Season,Team,R
2015,ARI,720
2016,ARI,752
2017,ARI,812
2018,ARI,693
2019,ARI,813
2021,ARI,679
2022,ARI,702
2015,ATL,573
2016,ATL,649
2017,ATL,732
2018,ATL,759
2019,ATL,855
2021,ATL,790
2022,ATL,789
2015,BAL,713
2016,BAL,744
2017,BAL,743
2018,BAL,622
2019,BAL,729
2021,BAL,659
2022,BAL,674
2015,BOS,748
2016,BOS,878
2017,BOS,785
2018,BOS,876
2019,BOS,901
2021,BOS,829
2022,BOS,735
2015,CHC,689
2016,CHC,808
2017,CHC,822
2018,CHC,761
2019,CHC,814
2021,CHC,705
2022,CHC,657
2015,CHW,622
2016,CHW,686
2017,CHW,706
2018,CHW,656
2019,CHW,708
2021,CHW,796
2022,CHW,686
2015,CIN,640
2016,CIN,716
2017,CIN,753
2018,CIN,696
2019,CIN,701
2021,CIN,786
2022,CIN,648
2015,CLE,669
2016,CLE,777
2017,CLE,818
2018,CLE,818
2019,CLE,769
2021,CLE,717
2022,CLE,698
2015,COL,737
2016,COL,845
2017,COL,824
2018,COL,780
2019,COL,835
2021,COL,739
2022,COL,698
2015,DET,689
2016,DET,750
2017,DET,735
2018,DET,630
2019,DET,582
2021,DET,697
2022,DET,557
2015,HOU,729
2016,HOU,724
2017,HOU,896
2018,HOU,797
2019,HOU,920
2021,HOU,863
2022,HOU,737
2015,KCR,724
2016,KCR,675
2017,KCR,702
2018,KCR,638
2019,KCR,691
2021,KCR,686
2022,KCR,640
2015,LAA,661
2016,LAA,717
2017,LAA,710
2018,LAA,721
2019,LAA,769
2021,LAA,723
2022,LAA,623
2015,LAD,667
2016,LAD,725
2017,LAD,770
2018,LAD,804
2019,LAD,886
2021,LAD,830
2022,LAD,847
2015,MIA,613
2016,MIA,655
2017,MIA,778
2018,MIA,589
2019,MIA,615
2021,MIA,623
2022,MIA,586
2015,MIL,655
2016,MIL,671
2017,MIL,732
2018,MIL,754
2019,MIL,769
2021,MIL,738
2022,MIL,725
2015,MIN,696
2016,MIN,722
2017,MIN,815
2018,MIN,738
2019,MIN,939
2021,MIN,729
2022,MIN,696
2015,NYM,683
2016,NYM,671
2017,NYM,735
2018,NYM,676
2019,NYM,791
2021,NYM,636
2022,NYM,772
2015,NYY,764
2016,NYY,680
2017,NYY,858
2018,NYY,851
2019,NYY,943
2021,NYY,711
2022,NYY,807
2015,OAK,694
2016,OAK,653
2017,OAK,739
2018,OAK,813
2019,OAK,845
2021,OAK,743
2022,OAK,568
2015,PHI,626
2016,PHI,610
2017,PHI,690
2018,PHI,677
2019,PHI,774
2021,PHI,734
2022,PHI,747
2015,PIT,697
2016,PIT,729
2017,PIT,668
2018,PIT,692
2019,PIT,758
2021,PIT,609
2022,PIT,591
2015,SDP,650
2016,SDP,686
2017,SDP,604
2018,SDP,617
2019,SDP,682
2021,SDP,729
2022,SDP,705
2015,SEA,656
2016,SEA,768
2017,SEA,750
2018,SEA,677
2019,SEA,758
2021,SEA,697
2022,SEA,690
2015,SFG,696
2016,SFG,715
2017,SFG,639
2018,SFG,603
2019,SFG,678
2021,SFG,804
2022,SFG,716
2015,STL,647
2016,STL,779
2017,STL,761
2018,STL,759
2019,STL,764
2021,STL,706
2022,STL,772
2015,TBR,644
2016,TBR,672
2017,TBR,694
2018,TBR,716
2019,TBR,769
2021,TBR,857
2022,TBR,666
2015,TEX,751
2016,TEX,765
2017,TEX,799
2018,TEX,737
2019,TEX,810
2021,TEX,625
2022,TEX,707
2015,TOR,891
2016,TOR,759
2017,TOR,693
2018,TOR,709
2019,TOR,726
2021,TOR,846
2022,TOR,775
2015,WSN,703
2016,WSN,763
2017,WSN,819
2018,WSN,771
2019,WSN,873
2021,WSN,724
2022,WSN,603
